keyword,definition,merged
SUBSIDENCE RATE,The rate of groundwater that is withdrawn from certain types of rocks.,"Label: SUBSIDENCE RATE
Definition: The rate of groundwater that is withdrawn from certain types of rocks."
EARTHWORMS,Tube shaped segmented worm in Phylum Annelida,"Label: EARTHWORMS
Definition: Tube shaped segmented worm in Phylum Annelida"
STANDARDIZED PRECIPITATION INDEX,"The SPI was formulated by Tom Mckee, Nolan Doesken and John Kleist of
the Colorado Climate Center in 1993. The purpose is to assign a single
numeric value to the precipitation which can be compared across
regions with markedly different climates. Technically, the SPI is the
number of standard deviations that the observed value would deviate
from the long-term mean, for a normally distributed random
variable. Since precipitation is not normally distributed, a
transformation is first applied so that the transformed precipitation
values follow a normal distribution.
The Standardized Precipitation Index was designed to explicitly
express the fact that it is possible to simultaneously experience wet
conditions on one or more time scales, and dry conditions at other
time scales, often a difficult concept to convey in simple terms to
decision-makers. Consequently, a separate SPI value is calculated for
a selection of time scales, covering the last 1, 2, 3, 4, 5, 6, 7, 8,
9, 10, 11, 12, 15, 18, 24, 30, 36, 48, 60, and 72 months, and ending
on the last day of the latest month.","Label: STANDARDIZED PRECIPITATION INDEX
Definition: The SPI was formulated by Tom Mckee, Nolan Doesken and John Kleist of
the Colorado Climate Center in 1993. The purpose is to assign a single
numeric value to the precipitation which can be compared across
regions with markedly different climates. Technically, the SPI is the
number of standard deviations that the observed value would deviate
from the long-term mean, for a normally distributed random
variable. Since precipitation is not normally distributed, a
transformation is first applied so that the transformed precipitation
values follow a normal distribution.
The Standardized Precipitation Index was designed to explicitly
express the fact that it is possible to simultaneously experience wet
conditions on one or more time scales, and dry conditions at other
time scales, often a difficult concept to convey in simple terms to
decision-makers. Consequently, a separate SPI value is calculated for
a selection of time scales, covering the last 1, 2, 3, 4, 5, 6, 7, 8,
9, 10, 11, 12, 15, 18, 24, 30, 36, 48, 60, and 72 months, and ending
on the last day of the latest month."
RIVER ICE,"Pertaining to the extent, thickness, longevity, etc. of ice formationsthat occur on river systems.","Label: RIVER ICE
Definition: Pertaining to the extent, thickness, longevity, etc. of ice formationsthat occur on river systems."
IGNEOUS ROCK AGE DETERMINATIONS,An analysis and determination of the age of igneous rocks,"Label: IGNEOUS ROCK AGE DETERMINATIONS
Definition: An analysis and determination of the age of igneous rocks"
INFILTRATION FREQUENCY,Amount of water that infiltrates the subsurface soil and rocks in a single period.,"Label: INFILTRATION FREQUENCY
Definition: Amount of water that infiltrates the subsurface soil and rocks in a single period."
DEEP LEARNING,A type of machine learning and artificial intelligence (AI) that imitates the way humans gain certain types of knowledge.,"Label: DEEP LEARNING
Definition: A type of machine learning and artificial intelligence (AI) that imitates the way humans gain certain types of knowledge."
OBJECT DETECTION,A machine learning model type that helps to identify a distinct object in data.,"Label: OBJECT DETECTION
Definition: A machine learning model type that helps to identify a distinct object in data."
PLUCKING,"Exploits pre-existing fractures in the bedrock. This plays a key role in opening and creating new fractures but has only provided small segments of loose material. This is then followed by the entrainment of the loosened rock by the ice. During the process of entrainment, loose rock material is frozen onto the base of the glacier and incorporated into the glacial ice.","Label: PLUCKING
Definition: Exploits pre-existing fractures in the bedrock. This plays a key role in opening and creating new fractures but has only provided small segments of loose material. This is then followed by the entrainment of the loosened rock by the ice. During the process of entrainment, loose rock material is frozen onto the base of the glacier and incorporated into the glacial ice."
TOXICITY LEVELS,"A property whereby substances are injurious to health when ingested orinhaled, such as chlorine, ammonia, pesticides, and formaldehyde.","Label: TOXICITY LEVELS
Definition: A property whereby substances are injurious to health when ingested orinhaled, such as chlorine, ammonia, pesticides, and formaldehyde."
LAND SURFACE FEEDBACKS,"Land-surface processes through which climate system is controlled,changed, or modulated. Land-surface feedbacks involve a perturbationin a climate quantity that causes a change in a second quantity, and thechange in the second quantity ultimately leads to an additional changein the first. Land-surface feedbacks often involve land-surface change orchange in terrestrial carbon stocks that in turn affect land-atmosphereinteraction.","Label: LAND SURFACE FEEDBACKS
Definition: Land-surface processes through which climate system is controlled,changed, or modulated. Land-surface feedbacks involve a perturbationin a climate quantity that causes a change in a second quantity, and thechange in the second quantity ultimately leads to an additional changein the first. Land-surface feedbacks often involve land-surface change orchange in terrestrial carbon stocks that in turn affect land-atmosphereinteraction."
ANTENNA TEMPERATURE,"Absolute radiometric temperature incident upon the instrument antenna with
no corrections for spurious energy received from sources not intended by
the instrument design.","Label: ANTENNA TEMPERATURE
Definition: Absolute radiometric temperature incident upon the instrument antenna with
no corrections for spurious energy received from sources not intended by
the instrument design."
WAVE OVERTOPPING,"Wave overtopping refers to the volumetric rate at which wave runup flowsover the top or crest of a slope, be it a beach, dune, or structure.","Label: WAVE OVERTOPPING
Definition: Wave overtopping refers to the volumetric rate at which wave runup flowsover the top or crest of a slope, be it a beach, dune, or structure."
MELT POND,"A pond of water on the surface of sea ice, commonly occurring in the Arctic in spring.","Label: MELT POND
Definition: A pond of water on the surface of sea ice, commonly occurring in the Arctic in spring."
GLOBALLY INTEGRATED ANGULAR MOMENTUM,The atmospheric angular momentum is the product of mass times the rotational velocity times the perpendicular distance from the axis of rotation. A rotating object will conserve its angular momentum unless a torque acts to change its rotation. The axial component is of interest in climate and is determined by the distribution of atmospheric mass and zonal wind relative to the earth's rotation axis. Higher than normal surface pressure in the tropics or strong westerly flow there contributes to greater AAM.,"Label: GLOBALLY INTEGRATED ANGULAR MOMENTUM
Definition: The atmospheric angular momentum is the product of mass times the rotational velocity times the perpendicular distance from the axis of rotation. A rotating object will conserve its angular momentum unless a torque acts to change its rotation. The axial component is of interest in climate and is determined by the distribution of atmospheric mass and zonal wind relative to the earth's rotation axis. Higher than normal surface pressure in the tropics or strong westerly flow there contributes to greater AAM."
LINE OF SIGHT VELOCITY,Wind velocity in the viewing area of the instrument.,"Label: LINE OF SIGHT VELOCITY
Definition: Wind velocity in the viewing area of the instrument."
EUTROPHICATION,"The enrichment of an ecosystem with chemical nutrients, typically compounds containing nitrogen, phosphorus, or both.","Label: EUTROPHICATION
Definition: The enrichment of an ecosystem with chemical nutrients, typically compounds containing nitrogen, phosphorus, or both."
SEA SURFACE SLOPE,"The slope of the ocean water surface, resultant from a geophysicalphenomenon such as dynamic circulation or tides.  This variable does notrefer to wave slope.","Label: SEA SURFACE SLOPE
Definition: The slope of the ocean water surface, resultant from a geophysicalphenomenon such as dynamic circulation or tides.  This variable does notrefer to wave slope."
ELECTRON FLUX,"The rate of flow of electrons through a reference surface. In cgs
units, measured in electrons s-1, or simply s-1.","Label: ELECTRON FLUX
Definition: The rate of flow of electrons through a reference surface. In cgs
units, measured in electrons s-1, or simply s-1."
THESAURI,"1.A book of synonyms, often including related and contrasting words andantonyms.<br>
2.A book of selected words or concepts, such as a specialized vocabulary of aparticular field, as of medicine or music","Label: THESAURI
Definition: 1.A book of synonyms, often including related and contrasting words andantonyms.<br>
2.A book of selected words or concepts, such as a specialized vocabulary of aparticular field, as of medicine or music"
ANTARCTIC OSCILLATION,"The Antarctic Oscillation (AAO) is the dominant pattern of
non-seasonal tropospheric circulation variations south of 20S, and it
is characterized by pressure anomalies of one sign centered in the
Antarctic and anomalies of the opposite sign centered about
40-50S. The AAO is also referred to as the Southern Annular Mode
(SAM). There is a Northern Hemisphere analog to the AAO, and it is
called the Arctic Oscillation (or Northern Annular Mode).","Label: ANTARCTIC OSCILLATION
Definition: The Antarctic Oscillation (AAO) is the dominant pattern of
non-seasonal tropospheric circulation variations south of 20S, and it
is characterized by pressure anomalies of one sign centered in the
Antarctic and anomalies of the opposite sign centered about
40-50S. The AAO is also referred to as the Southern Annular Mode
(SAM). There is a Northern Hemisphere analog to the AAO, and it is
called the Arctic Oscillation (or Northern Annular Mode)."
GALE,"In general, and in popular use, an unusually strong wind.In storm-warning terminology, a wind of 28–47 knots (32–54 mph).In the Beaufort wind scale, a wind with a speed from 28–55 knots (32–63 mph) and categorized as follows: moderate gale, 28–33 knots (Force 7); fresh gale, 34–40 knots (Force 8); strong gale, 41–47 knots (Force 9); and whole gale, 48–55 knots (Force 10).","Label: GALE
Definition: In general, and in popular use, an unusually strong wind.In storm-warning terminology, a wind of 28–47 knots (32–54 mph).In the Beaufort wind scale, a wind with a speed from 28–55 knots (32–63 mph) and categorized as follows: moderate gale, 28–33 knots (Force 7); fresh gale, 34–40 knots (Force 8); strong gale, 41–47 knots (Force 9); and whole gale, 48–55 knots (Force 10)."
SEA CAVES,"A littoral cave, is a type of cave formed primarily by the wave action of the sea. The primary process involved is erosion. Sea caves are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines.","Label: SEA CAVES
Definition: A littoral cave, is a type of cave formed primarily by the wave action of the sea. The primary process involved is erosion. Sea caves are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines."
MOUNTAIN SNOW LINE SHIFT,"The boundary marking the lowest altitude at which a given area, such as the top of a mountain, is always covered with snow.","Label: MOUNTAIN SNOW LINE SHIFT
Definition: The boundary marking the lowest altitude at which a given area, such as the top of a mountain, is always covered with snow."
CAC03,"A chemical compound that is a common substance found in rocks in all parts of the world, and is the main component of shells of marine organisms, snails, coal balls, pearls, and eggshells. Calcium carbonate is the active ingredient in agricultural lime, and is created when Ca ions in hard water react with carbonate ions creating limescale.","Label: CAC03
Definition: A chemical compound that is a common substance found in rocks in all parts of the world, and is the main component of shells of marine organisms, snails, coal balls, pearls, and eggshells. Calcium carbonate is the active ingredient in agricultural lime, and is created when Ca ions in hard water react with carbonate ions creating limescale."
CLOUD HEIGHT,"In weather observations, the height of the cloud base above localterrain.  In satellite remote sensing, cloud height is often referred to as theheight of the cloud top above local terrain or above mean sea level. Also canbe defined as the vertical distance from the cloud base to the cloud top; morecommonly referred to as the 'thickness' or 'depth' of the cloud. ","Label: CLOUD HEIGHT
Definition: In weather observations, the height of the cloud base above localterrain.  In satellite remote sensing, cloud height is often referred to as theheight of the cloud top above local terrain or above mean sea level. Also canbe defined as the vertical distance from the cloud base to the cloud top; morecommonly referred to as the 'thickness' or 'depth' of the cloud. "
CUMULONIMBUS INCUS,"The anvil-shaped cloud that comprises the upper portion of mature cumulonimbus clouds; the popular name given to a cumulonimbus capillatus cloud, particularly if it embodies the supplementary feature incus (from the Latin for anvil).","Label: CUMULONIMBUS INCUS
Definition: The anvil-shaped cloud that comprises the upper portion of mature cumulonimbus clouds; the popular name given to a cumulonimbus capillatus cloud, particularly if it embodies the supplementary feature incus (from the Latin for anvil)."
24 HOUR MINIMUM TEMPERATURE,The lowest temperature attained at a specific location during a (24 hour) period.,"Label: 24 HOUR MINIMUM TEMPERATURE
Definition: The lowest temperature attained at a specific location during a (24 hour) period."
VORTICITY,Measure of the rotational spin about an axis at some point within a fluid.,"Label: VORTICITY
Definition: Measure of the rotational spin about an axis at some point within a fluid."
SENSOR COUNTS,The raw digital values recorded by the sensor.,"Label: SENSOR COUNTS
Definition: The raw digital values recorded by the sensor."
SNOW DEPTH,Pertaining to the thickness of snow pack throughout the year.,"Label: SNOW DEPTH
Definition: Pertaining to the thickness of snow pack throughout the year."
TIDAL CURRENTS,Mass flow of water induced by the raising or lowering of sea level owingto passage of tidal crests or troughs.,"Label: TIDAL CURRENTS
Definition: Mass flow of water induced by the raising or lowering of sea level owingto passage of tidal crests or troughs."
RADAR IMAGERY,"A mapping of the observed radar reflectivity of a scene, consisting of a
file of digital numbers assigned to spatial	  positions on a grid of
pixels.","Label: RADAR IMAGERY
Definition: A mapping of the observed radar reflectivity of a scene, consisting of a
file of digital numbers assigned to spatial	  positions on a grid of
pixels."
MINERAL DISSOLUTION,"The separation of minerals into different components. Mineral dissolution and precipitation, especially of Fe and Mn (hydr)oxides and the carbonate mineral family, partially regulate pH and alkalinity of natural waters, affecting the fate and transport of organic and inorganic contaminants.","Label: MINERAL DISSOLUTION
Definition: The separation of minerals into different components. Mineral dissolution and precipitation, especially of Fe and Mn (hydr)oxides and the carbonate mineral family, partially regulate pH and alkalinity of natural waters, affecting the fate and transport of organic and inorganic contaminants."
IMPORTANCE VALUE,"The importance value is the sum of relative density, relative dominance,and relative frequency for a species in the community. The larger theimportance value, the more dominant a species is in the particularcommunity.","Label: IMPORTANCE VALUE
Definition: The importance value is the sum of relative density, relative dominance,and relative frequency for a species in the community. The larger theimportance value, the more dominant a species is in the particularcommunity."
INFILTRATION AMOUNT,Amount of water that infiltrates the subsurface soil and rocks.,"Label: INFILTRATION AMOUNT
Definition: Amount of water that infiltrates the subsurface soil and rocks."
Urban Heat Island,"The tendency for higher air temperatures to persist in urban areas as aresult of heat absorbed and emitted by buildings and asphalt, tending to make cities warmer than the surrounding countryside.","Label: Urban Heat Island
Definition: The tendency for higher air temperatures to persist in urban areas as aresult of heat absorbed and emitted by buildings and asphalt, tending to make cities warmer than the surrounding countryside."
AEROALLERGENS,"Various airborne substances, such as pollen or spores, which cancause an allergic response.","Label: AEROALLERGENS
Definition: Various airborne substances, such as pollen or spores, which cancause an allergic response."
PARTICULATE MATTER CONCENTRATIONS,"Concentrations of tiny airborne pieces of solid or liquid matter such assoot, dust, fumes, mists, aerosols, haze, and smoke.¹ The size ofparticles is directly linked to their potential for causing health problems.Small particles less than 10 micrometers in diameter pose the greatestrisk because they can travel deep into the respiratory system and affectthe lungs and heart. ²","Label: PARTICULATE MATTER CONCENTRATIONS
Definition: Concentrations of tiny airborne pieces of solid or liquid matter such assoot, dust, fumes, mists, aerosols, haze, and smoke.¹ The size ofparticles is directly linked to their potential for causing health problems.Small particles less than 10 micrometers in diameter pose the greatestrisk because they can travel deep into the respiratory system and affectthe lungs and heart. ²"
PARTICULATE MATTER (PM 2.5),"A type of air pollution that consists of extremely small particles that are 2.5 micrometers or less in diameter. These particles are so small that thousands of them could fit in the period at the end of a sentence. PM2.5 is a mixture of dust, soot, organic chemicals, and metals that can come from a variety of sources, including cars, trucks, factories, and wood burning.","Label: PARTICULATE MATTER (PM 2.5)
Definition: A type of air pollution that consists of extremely small particles that are 2.5 micrometers or less in diameter. These particles are so small that thousands of them could fit in the period at the end of a sentence. PM2.5 is a mixture of dust, soot, organic chemicals, and metals that can come from a variety of sources, including cars, trucks, factories, and wood burning."
OCEAN COASTAL UPWELLING INDEX,Upwelling is an important process affecting plankton production off the Pacific Northwest. The CUI is a measure of the volume of water that upwells along the coast; it identifies the amount of offshore transport of surface waters due to geostrophic wind fields. Indices are in units of cubic meters per second along each 100 meters of coastline. Positive numbers indicate offshore transport for the upwelling index product and southward transport for the along-shore product. The CUI was developed by Dr. Andrew Bakun (Bakun 1973) and is provided by the Pacific Fisheries Environmental Lab (PFEL) of NOAA National Marine Fisheries Service (NMFS).,"Label: OCEAN COASTAL UPWELLING INDEX
Definition: Upwelling is an important process affecting plankton production off the Pacific Northwest. The CUI is a measure of the volume of water that upwells along the coast; it identifies the amount of offshore transport of surface waters due to geostrophic wind fields. Indices are in units of cubic meters per second along each 100 meters of coastline. Positive numbers indicate offshore transport for the upwelling index product and southward transport for the along-shore product. The CUI was developed by Dr. Andrew Bakun (Bakun 1973) and is provided by the Pacific Fisheries Environmental Lab (PFEL) of NOAA National Marine Fisheries Service (NMFS)."
MEAN SEA SURFACE,The mean sea surface is the displacement of the sea surface relative to a mathematical model of the earth and it closely follows the geoid.,"Label: MEAN SEA SURFACE
Definition: The mean sea surface is the displacement of the sea surface relative to a mathematical model of the earth and it closely follows the geoid."
FIRN FORMATION,"The formation process of firn, a partially compacted névé, which is a type of snow that has been left over from past seasons and has been recrystallized into a substance denser than névé. It is ice that is at an intermediate stage between snow and glacial ice.","Label: FIRN FORMATION
Definition: The formation process of firn, a partially compacted névé, which is a type of snow that has been left over from past seasons and has been recrystallized into a substance denser than névé. It is ice that is at an intermediate stage between snow and glacial ice."
LOCAL SUBSIDENCE TRENDS,Sinking of the land due to tectonic or isostatic processes.,"Label: LOCAL SUBSIDENCE TRENDS
Definition: Sinking of the land due to tectonic or isostatic processes."
NUCLEAR ENERGY PRODUCTION/USE,Refers to the production and use of nuclear power for human consumption. Nuclear energy is the energy released by a nuclear reaction.,"Label: NUCLEAR ENERGY PRODUCTION/USE
Definition: Refers to the production and use of nuclear power for human consumption. Nuclear energy is the energy released by a nuclear reaction."
ANIMAL ECOLOGY AND BEHAVIOR,"Any measurment related to the totality or pattern of the interrelationshipof animals, and animals with their environment.","Label: ANIMAL ECOLOGY AND BEHAVIOR
Definition: Any measurment related to the totality or pattern of the interrelationshipof animals, and animals with their environment."
CENTIPEDES,"Centipedes are in the Class Chilopoda, and are elongate arthropods withbody divided into head and trunk, the latter bearing ten or more pairs oflegs.","Label: CENTIPEDES
Definition: Centipedes are in the Class Chilopoda, and are elongate arthropods withbody divided into head and trunk, the latter bearing ten or more pairs oflegs."
VEGETATION FRACTION,"The areal extent of vegetation-covered ground, expressed as the mathematical fraction of a region covered with vegetation.","Label: VEGETATION FRACTION
Definition: The areal extent of vegetation-covered ground, expressed as the mathematical fraction of a region covered with vegetation."
BARNACLES,"Cone shaped shell-wall comprised of calcareous plates sessile, marine intertidal crustaceans.","Label: BARNACLES
Definition: Cone shaped shell-wall comprised of calcareous plates sessile, marine intertidal crustaceans."
LACUSTRINE PLAIN,"Lakes that get filled by incoming sediment. Overtime, the water may drain from the lake, leaving the deposited sediments behind. This can be caused by natural drainage, evaporation or other geophysical processes.","Label: LACUSTRINE PLAIN
Definition: Lakes that get filled by incoming sediment. Overtime, the water may drain from the lake, leaving the deposited sediments behind. This can be caused by natural drainage, evaporation or other geophysical processes."
LACUSTRINE PLAIN,"Lakes that get filled by incoming sediment. Overtime, the water may drain from the lake, leaving the deposited sediments behind. This can be caused by natural drainage, evaporation or other geophysical processes.","Label: LACUSTRINE PLAIN
Definition: Lakes that get filled by incoming sediment. Overtime, the water may drain from the lake, leaving the deposited sediments behind. This can be caused by natural drainage, evaporation or other geophysical processes."
BANK REEF,"A linear or semi-circular shaped-outline, larger than a patch reef.","Label: BANK REEF
Definition: A linear or semi-circular shaped-outline, larger than a patch reef."
IRRIGATION,Irrigation is supplying water to croplands by artificial means.,"Label: IRRIGATION
Definition: Irrigation is supplying water to croplands by artificial means."
SNOW WATER EQUIVALENT,Pertaining to the measurement of the amount of water in a given snow pack.,"Label: SNOW WATER EQUIVALENT
Definition: Pertaining to the measurement of the amount of water in a given snow pack."
HIGH THROUGHPUT SEQUENCING,"High-throughput sequencing, also known as next-generation sequencing (NGS), is the comprehensive term used to describe modern technologies that sequence DNA and RNA in a rapid and cost-effective manner.","Label: HIGH THROUGHPUT SEQUENCING
Definition: High-throughput sequencing, also known as next-generation sequencing (NGS), is the comprehensive term used to describe modern technologies that sequence DNA and RNA in a rapid and cost-effective manner."
GLACIAL DRIFT,"Less apparent is the ground moraine, also called glacial drift, which often blankets the surface underneath much of the glacier downslope from the equilibrium line.","Label: GLACIAL DRIFT
Definition: Less apparent is the ground moraine, also called glacial drift, which often blankets the surface underneath much of the glacier downslope from the equilibrium line."
STAGE HEIGHT,"The elevation of the water level of a lake, river, stream or other body of water above a common datum.","Label: STAGE HEIGHT
Definition: The elevation of the water level of a lake, river, stream or other body of water above a common datum."
SHORELINES,"The fringe of land at the edge of a large body of water, such as an ocean, sea, or lake. In Physical Oceanography a shore is the wider fringe that is geologically modified by the action of the body of water past and present, while the beach is at the edge of the shore, representing the intertidal zone where there is one. is the fringe of land at the edge of a large body of water, such as an ocean, sea, or lake. In Physical Oceanography a shore is the wider fringe that is geologically modified by the action of the body of water past and present, while the beach is at the edge of the shore, representing the intertidal zone where there is one.","Label: SHORELINES
Definition: The fringe of land at the edge of a large body of water, such as an ocean, sea, or lake. In Physical Oceanography a shore is the wider fringe that is geologically modified by the action of the body of water past and present, while the beach is at the edge of the shore, representing the intertidal zone where there is one. is the fringe of land at the edge of a large body of water, such as an ocean, sea, or lake. In Physical Oceanography a shore is the wider fringe that is geologically modified by the action of the body of water past and present, while the beach is at the edge of the shore, representing the intertidal zone where there is one."
KARST LANDFORMS,A Karst landform is a feature created on the Earth's surface by the drainage of water into the ground or by its discharge at springs.,"Label: KARST LANDFORMS
Definition: A Karst landform is a feature created on the Earth's surface by the drainage of water into the ground or by its discharge at springs."
CRESCENTIC (BARCHAN/TRANSVERSE) DUNE,"'Crescent-shaped mounds are generally wider than they are long. The slipfaces are on the concave sides of the dunes. These dunes form under winds that blow consistently from one direction, and they also are known as barchans, or transverse dunes.","Label: CRESCENTIC (BARCHAN/TRANSVERSE) DUNE
Definition: 'Crescent-shaped mounds are generally wider than they are long. The slipfaces are on the concave sides of the dunes. These dunes form under winds that blow consistently from one direction, and they also are known as barchans, or transverse dunes."
EQUATORIAL PACIFIC ZONAL WIND ANOMALY INDEX,"The ENSO zonal wind anomaly index is calculated for the region 8N-8S, 150E-140W from the COADS data. This region was chosen from a map of zonal wind regressed onto an index of eastern equatorial Pacific SST for the period 1950-79. The anomalies are with respect to a 1950-79 climatology.","Label: EQUATORIAL PACIFIC ZONAL WIND ANOMALY INDEX
Definition: The ENSO zonal wind anomaly index is calculated for the region 8N-8S, 150E-140W from the COADS data. This region was chosen from a map of zonal wind regressed onto an index of eastern equatorial Pacific SST for the period 1950-79. The anomalies are with respect to a 1950-79 climatology."
NATURAL GAS VERTICAL/GEOGRAPHIC DISTRIBUTION,The vertical and geographic distribution of natural gas within the solid Earth.,"Label: NATURAL GAS VERTICAL/GEOGRAPHIC DISTRIBUTION
Definition: The vertical and geographic distribution of natural gas within the solid Earth."
NATURAL GAS,"Natural gas is a fossil fuel formed when layers of buried plants and animals are exposed to intense heat and pressure over thousands of years. The energy that the plants and animals originally obtained from the sun is stored in the form of carbon in natural gas. Natural gas is combusted to generate electricity, enabling this stored energy to be transformed into usable power. Natural gas is a nonrenewable resource because it cannot be replenished on a human time frame.","Label: NATURAL GAS
Definition: Natural gas is a fossil fuel formed when layers of buried plants and animals are exposed to intense heat and pressure over thousands of years. The energy that the plants and animals originally obtained from the sun is stored in the form of carbon in natural gas. Natural gas is combusted to generate electricity, enabling this stored energy to be transformed into usable power. Natural gas is a nonrenewable resource because it cannot be replenished on a human time frame."
WIND DIRECTION PROFILES,"Generally, the wind direction at various levels in the atmosphere above the domain of surface weather observations, as determined by any of the methods of winds-aloft observation.","Label: WIND DIRECTION PROFILES
Definition: Generally, the wind direction at various levels in the atmosphere above the domain of surface weather observations, as determined by any of the methods of winds-aloft observation."
TRANS-NINO INDEX,The timeseries is calculated from the HadISST and the NCEP OI Datasets. It is the standardized Nina 12 minus the Nina 4 with a 5 month running mean applied which is then standardized using the 1950-1979 period.,"Label: TRANS-NINO INDEX
Definition: The timeseries is calculated from the HadISST and the NCEP OI Datasets. It is the standardized Nina 12 minus the Nina 4 with a 5 month running mean applied which is then standardized using the 1950-1979 period."
CARBON,"Any measurement of Carbon in the soil, in organic or inorganic fractions.","Label: CARBON
Definition: Any measurement of Carbon in the soil, in organic or inorganic fractions."
HYDROXYL,"Hydroxyl (OH) - an atom consisting of one hydrogen atom and one oxygen
atom which does not normally exist in a stable form; this radical readily
reacts with methane and carbon monoxide. The source of the hydroxyl
radical in the atmosphere occurs primarily through the 1) photolysis of
hydrogen peroxide, heat, and light and 2) the attack on water of an
excited oxygen radical (created by the photolysis of ozone). [JAPCA; v39;
704; 1989] [Journal of Chemical Society; v85; 577; 1989.]","Label: HYDROXYL
Definition: Hydroxyl (OH) - an atom consisting of one hydrogen atom and one oxygen
atom which does not normally exist in a stable form; this radical readily
reacts with methane and carbon monoxide. The source of the hydroxyl
radical in the atmosphere occurs primarily through the 1) photolysis of
hydrogen peroxide, heat, and light and 2) the attack on water of an
excited oxygen radical (created by the photolysis of ozone). [JAPCA; v39;
704; 1989] [Journal of Chemical Society; v85; 577; 1989.]"
PESTICIDES,"Any measure of or about insecticides, fungicides, or herbicides; may include non-chemical/manufactured agents, and/or natural defensemechanisms.","Label: PESTICIDES
Definition: Any measure of or about insecticides, fungicides, or herbicides; may include non-chemical/manufactured agents, and/or natural defensemechanisms."
WEATHERING,"Breaking down of Earth's rocks, soils and minerals through direct contact with the planet's atmosphere. Weathering occurs in situ, or 'with no movement', and thus should not be confused with erosion, which involves the movement of rocks and minerals by agents such as water, ice, wind, and gravity.","Label: WEATHERING
Definition: Breaking down of Earth's rocks, soils and minerals through direct contact with the planet's atmosphere. Weathering occurs in situ, or 'with no movement', and thus should not be confused with erosion, which involves the movement of rocks and minerals by agents such as water, ice, wind, and gravity."
ENVIRONMENTAL REGULATIONS,Environmental laws or regulations impacting companies.,"Label: ENVIRONMENTAL REGULATIONS
Definition: Environmental laws or regulations impacting companies."
YARDANGS,"A streamlined hill carved from bedrock or any consolidated or semiconsolidated material by the dual action of wind abrasion, dust and sand, and deflation. Yardangs are elongate features typically three or more times longer than they are wide, and when viewed from above, resemble the hull of a boat. Facing the wind is a steep, blunt face that gradually gets lower and narrower toward the lee end.","Label: YARDANGS
Definition: A streamlined hill carved from bedrock or any consolidated or semiconsolidated material by the dual action of wind abrasion, dust and sand, and deflation. Yardangs are elongate features typically three or more times longer than they are wide, and when viewed from above, resemble the hull of a boat. Facing the wind is a steep, blunt face that gradually gets lower and narrower toward the lee end."
AUTHORING TOOLS,Authoring Tools services are defined as Metadata Handling Services that helpsin the creation of metadata.,"Label: AUTHORING TOOLS
Definition: Authoring Tools services are defined as Metadata Handling Services that helpsin the creation of metadata."
INUNDATION LEVEL,The level of the water that covers an area during flooding.,"Label: INUNDATION LEVEL
Definition: The level of the water that covers an area during flooding."
FRACTURE ZONES,"Fracture zones are large, linear zone of irregular bathymetry of the sea floor,characterized by asymmetric ridges and troughs. Fracture zones are thetopographic expression of transform faults, faults with horizontal displacementconnecting the ends of an offset in a mid-ocean ridge.","Label: FRACTURE ZONES
Definition: Fracture zones are large, linear zone of irregular bathymetry of the sea floor,characterized by asymmetric ridges and troughs. Fracture zones are thetopographic expression of transform faults, faults with horizontal displacementconnecting the ends of an offset in a mid-ocean ridge."
SNOW MELT,Pertaining to the rate and extent of melting snow pack(s).,"Label: SNOW MELT
Definition: Pertaining to the rate and extent of melting snow pack(s)."
TEMPERATURE-HUMIDITY INDEX,"temperature–humidity index (THI), combination of temperature and humidity that is a measure of the degree of discomfort experienced by an individual in warm weather; it was originally called the discomfort index. The index is essentially an effective temperature based on air temperature and humidity; it equals 15 plus 0.4 times the sum of simultaneous readings of the dry- and wet-bulb temperatures. Thus, if the dry-bulb temperature is 90° F (32° C) and the wet-bulb temperature is 50° F (10° C), the discomfort index is 15 + 0.4 (140), or 71. Most people are quite comfortable when the index is below 70 and very uncomfortable when the index is above 80 to 85. In the U.S. the highest average daily values of the THI, exceeding 80, consistently occur in the southern California deserts and southwestern Arizona in July and August.","Label: TEMPERATURE-HUMIDITY INDEX
Definition: temperature–humidity index (THI), combination of temperature and humidity that is a measure of the degree of discomfort experienced by an individual in warm weather; it was originally called the discomfort index. The index is essentially an effective temperature based on air temperature and humidity; it equals 15 plus 0.4 times the sum of simultaneous readings of the dry- and wet-bulb temperatures. Thus, if the dry-bulb temperature is 90° F (32° C) and the wet-bulb temperature is 50° F (10° C), the discomfort index is 15 + 0.4 (140), or 71. Most people are quite comfortable when the index is below 70 and very uncomfortable when the index is above 80 to 85. In the U.S. the highest average daily values of the THI, exceeding 80, consistently occur in the southern California deserts and southwestern Arizona in July and August."
SLEET,"In the United States, frozen rain drops that bounce on impact with theground or other objects. Elsewhere, may refer to a mix of rain and snow, amix of rain and hail, or melting snow.","Label: SLEET
Definition: In the United States, frozen rain drops that bounce on impact with theground or other objects. Elsewhere, may refer to a mix of rain and snow, amix of rain and hail, or melting snow."
IONS,"Pertaining to the measurement of various electrostatically charged
compounds found in ice cores. Ions can be analyzed to infer human, biological,and volcanic activity, as well as ocean water conditions.","Label: IONS
Definition: Pertaining to the measurement of various electrostatically charged
compounds found in ice cores. Ions can be analyzed to infer human, biological,and volcanic activity, as well as ocean water conditions."
